ReportType,fieldname,FieldCode,District,DispositionDate,OilUsed,GasUsed,GasBlown,ReportedOrEstimated
OG110D,Aliso Canyon,010,Coastal,2021-01-31 00:00:00,0,280,0,Reported
OG110D,Aliso Canyon,010,Coastal,2021-01-31 00:00:00,0,420,0,Reported
OG110D,Aliso Canyon,010,Coastal,2021-02-28 00:00:00,0,305,0,Reported
OG110D,Aliso Canyon,010,Coastal,2021-02-28 00:00:00,0,379,0,Reported
OG110D,Aliso Canyon,010,Coastal,2021-03-31 00:00:00,0,340,0,Reported
OG110D,Aliso Canyon,010,Coastal,2021-03-31 00:00:00,0,420,0,Reported
OG110D,Aliso Canyon,010,Coastal,2021-04-30 00:00:00,0,329,0,Reported
OG110D,Aliso Canyon,010,Coastal,2021-04-30 00:00:00,0,393,0,Reported
OG110D,Aliso Canyon,010,Coastal,2021-05-31 00:00:00,0,343,0,Reported
OG110D,Aliso Canyon,010,Coastal,2021-05-31 00:00:00,0,352,0,Reported
OG110D,Aliso Canyon,010,Coastal,2021-06-30 00:00:00,0,0,0,Reported
OG110D,Aliso Canyon,010,Coastal,2021-06-30 00:00:00,0,328,0,Reported
OG110D,Aliso Canyon,010,Coastal,2021-07-31 00:00:00,0,339,0,Reported
OG110D,Aliso Canyon,010,Coastal,2021-07-31 00:00:00,0,393,0,Reported
OG110D,Ant Hill,018,Inland,2021-01-31 00:00:00,0,0,0,Reported
OG110D,Ant Hill,018,Inland,2021-02-28 00:00:00,0,0,0,Reported
OG110D,Ant Hill,018,Inland,2021-03-31 00:00:00,0,0,0,Reported
OG110D,Ant Hill,018,Inland,2021-04-30 00:00:00,0,0,0,Reported
OG110D,Ant Hill,018,Inland,2021-05-31 00:00:00,0,0,0,Reported
OG110D,Antelope Hills  North,022,Inland,2021-01-31 00:00:00,0,0,0,Reported
OG110D,Antelope Hills  North,022,Inland,2021-02-28 00:00:00,0,0,0,Reported
OG110D,Antelope Hills  North,022,Inland,2021-03-31 00:00:00,0,0,0,Reported
OG110D,Antelope Hills  North,022,Inland,2021-04-30 00:00:00,0,0,0,Reported
OG110D,Antelope Hills  North,022,Inland,2021-05-31 00:00:00,0,0,0,Reported
OG110D,Any Field,000,Southern,2021-01-31 00:00:00,0,0,0,Reported
OG110D,Any Field,000,Southern,2021-01-31 00:00:00,0,0,733,Reported
OG110D,Any Field,000,Southern,2021-02-28 00:00:00,0,0,0,Reported
OG110D,Any Field,000,Southern,2021-02-28 00:00:00,0,0,779,Reported
OG110D,Any Field,000,Southern,2021-03-31 00:00:00,0,0,0,Reported
OG110D,Any Field,000,Southern,2021-03-31 00:00:00,0,1005,786,Reported
OG110D,Any Field,000,Southern,2021-04-30 00:00:00,0,0,0,Reported
OG110D,Any Field,000,Southern,2021-04-30 00:00:00,0,0,761,Reported
OG110D,Any Field,000,Southern,2021-05-31 00:00:00,0,0,0,Reported
OG110D,Any Field,000,Southern,2021-05-31 00:00:00,0,0,776,Reported
OG110D,Any Field,000,Southern,2021-06-30 00:00:00,0,0,0,Reported
OG110D,Any Field,000,Southern,2021-06-30 00:00:00,0,0,678,Reported
OG110D,Any Field,000,Southern,2021-06-30 00:00:00,0,300,0,Reported
OG110D,Any Field,000,Southern,2021-07-31 00:00:00,0,0,0,Reported
OG110D,Any Field,000,Southern,2021-07-31 00:00:00,0,0,805,Reported
OG110D,Arbuckle Gas,026,Northern,2021-01-31 00:00:00,0,0,0,Reported
OG110D,Arbuckle Gas,026,Northern,2021-02-28 00:00:00,0,0,0,Reported
OG110D,Arbuckle Gas,026,Northern,2021-03-31 00:00:00,0,0,0,Reported
OG110D,Arbuckle Gas,026,Northern,2021-04-30 00:00:00,0,0,0,Reported
OG110D,Arbuckle Gas,026,Northern,2021-05-31 00:00:00,0,0,0,Reported
OG110D,Arroyo Grande,028,Coastal,2021-01-31 00:00:00,0,38852,0,Reported
OG110D,Arroyo Grande,028,Coastal,2021-02-28 00:00:00,0,36444,0,Reported
OG110D,Arroyo Grande,028,Coastal,2021-03-31 00:00:00,0,39326,0,Reported
OG110D,Arroyo Grande,028,Coastal,2021-04-30 00:00:00,0,36306,0,Reported
OG110D,Arroyo Grande,028,Coastal,2021-05-31 00:00:00,0,41909,0,Reported
OG110D,Arroyo Grande,028,Coastal,2021-06-30 00:00:00,0,43133,0,Reported
OG110D,Asphalto,032,Inland,2021-01-31 00:00:00,0,0,0,Reported
OG110D,Asphalto,032,Inland,2021-01-31 00:00:00,0,287,0,Reported
OG110D,Asphalto,032,Inland,2021-01-31 00:00:00,0,16956,1910,Reported
OG110D,Asphalto,032,Inland,2021-02-28 00:00:00,0,0,0,Reported
OG110D,Asphalto,032,Inland,2021-02-28 00:00:00,0,154,0,Reported
OG110D,Asphalto,032,Inland,2021-02-28 00:00:00,0,14229,2603,Reported
OG110D,Asphalto,032,Inland,2021-03-31 00:00:00,0,0,0,Reported
OG110D,Asphalto,032,Inland,2021-03-31 00:00:00,0,173,0,Reported
OG110D,Asphalto,032,Inland,2021-03-31 00:00:00,0,18462,2991,Reported
OG110D,Asphalto,032,Inland,2021-04-30 00:00:00,0,0,0,Reported
OG110D,Asphalto,032,Inland,2021-04-30 00:00:00,0,284,0,Reported
OG110D,Asphalto,032,Inland,2021-04-30 00:00:00,0,15980,287,Reported
OG110D,Asphalto,032,Inland,2021-05-31 00:00:00,0,0,0,Reported
OG110D,Asphalto,032,Inland,2021-05-31 00:00:00,0,280,0,Reported
OG110D,Asphalto,032,Inland,2021-05-31 00:00:00,0,22193,268,Reported
OG110D,Asphalto,032,Inland,2021-06-30 00:00:00,0,0,0,Reported
OG110D,Asphalto,032,Inland,2021-06-30 00:00:00,0,293,0,Reported
OG110D,Asphalto,032,Inland,2021-06-30 00:00:00,0,16214,249,Reported
OG110D,Asphalto,032,Inland,2021-07-31 00:00:00,0,0,0,Reported
OG110D,Asphalto,032,Inland,2021-07-31 00:00:00,0,331,0,Reported
OG110D,Bandini,034,Southern,2021-01-31 00:00:00,0,0,0,Reported
OG110D,Bandini,034,Southern,2021-02-28 00:00:00,0,0,0,Reported
OG110D,Bandini,034,Southern,2021-03-31 00:00:00,0,0,0,Reported
OG110D,Bandini,034,Southern,2021-04-30 00:00:00,0,0,0,Reported
OG110D,Bandini,034,Southern,2021-05-31 00:00:00,0,0,0,Reported
OG110D,Bandini,034,Southern,2021-06-30 00:00:00,0,0,0,Reported
OG110D,Bardsdale,036,Coastal,2021-01-31 00:00:00,0,13,241,Reported
OG110D,Bardsdale,036,Coastal,2021-02-28 00:00:00,0,14,116,Reported
OG110D,Bardsdale,036,Coastal,2021-03-31 00:00:00,0,12,180,Reported
OG110D,Bardsdale,036,Coastal,2021-04-30 00:00:00,0,14,10184,Reported
OG110D,Bardsdale,036,Coastal,2021-05-31 00:00:00,0,0,0,Reported
OG110D,Belgian Anticline,042,Inland,2021-01-31 00:00:00,0,0,0,Reported
OG110D,Belgian Anticline,042,Inland,2021-01-31 00:00:00,0,0,1201,Reported
OG110D,Belgian Anticline,042,Inland,2021-02-28 00:00:00,0,0,0,Reported
OG110D,Belgian Anticline,042,Inland,2021-02-28 00:00:00,0,0,1127,Reported
OG110D,Belgian Anticline,042,Inland,2021-03-31 00:00:00,0,0,0,Reported
OG110D,Belgian Anticline,042,Inland,2021-03-31 00:00:00,0,0,1194,Reported
OG110D,Belgian Anticline,042,Inland,2021-04-30 00:00:00,0,0,0,Reported
OG110D,Belgian Anticline,042,Inland,2021-04-30 00:00:00,0,0,1245,Reported
OG110D,Belgian Anticline,042,Inland,2021-05-31 00:00:00,0,0,0,Reported
OG110D,Belgian Anticline,042,Inland,2021-06-30 00:00:00,0,0,0,Reported
OG110D,Belgian Anticline,042,Inland,2021-07-31 00:00:00,0,0,0,Reported
OG110D,Bellevue,044,Inland,2021-01-31 00:00:00,0,0,0,Reported
OG110D,Bellevue,044,Inland,2021-01-31 00:00:00,0,310,0,Reported
OG110D,Bellevue,044,Inland,2021-02-28 00:00:00,0,0,0,Reported
OG110D,Bellevue,044,Inland,2021-02-28 00:00:00,0,280,0,Reported
OG110D,Bellevue,044,Inland,2021-03-31 00:00:00,0,0,0,Reported
OG110D,Bellevue,044,Inland,2021-03-31 00:00:00,0,110,0,Reported
OG110D,Bellevue,044,Inland,2021-03-31 00:00:00,0,310,0,Reported
OG110D,Bellevue,044,Inland,2021-04-30 00:00:00,0,230,0,Reported
OG110D,Bellevue,044,Inland,2021-04-30 00:00:00,0,300,0,Reported
OG110D,Bellevue,044,Inland,2021-05-31 00:00:00,0,0,0,Reported
OG110D,Bellevue,044,Inland,2021-05-31 00:00:00,0,310,0,Reported
OG110D,Bellevue,044,Inland,2021-06-30 00:00:00,0,0,0,Reported
OG110D,Bellevue,044,Inland,2021-06-30 00:00:00,0,300,0,Reported
OG110D,Bellevue,044,Inland,2021-07-31 00:00:00,0,0,0,Reported
OG110D,Bellevue,044,Inland,2021-07-31 00:00:00,0,310,0,Reported
OG110D,Bellevue  West,046,Inland,2021-01-31 00:00:00,0,0,0,Reported
OG110D,Bellevue  West,046,Inland,2021-02-28 00:00:00,0,0,0,Reported
OG110D,Bellevue  West,046,Inland,2021-03-31 00:00:00,0,0,0,Reported
OG110D,Bellevue  West,046,Inland,2021-04-30 00:00:00,0,0,0,Reported
OG110D,Bellevue  West,046,Inland,2021-05-31 00:00:00,0,0,0,Reported
OG110D,Bellevue  West,046,Inland,2021-06-30 00:00:00,0,0,0,Reported
OG110D,Bellevue  West,046,Inland,2021-07-31 00:00:00,0,0,0,Reported
OG110D,Belridge  North,050,Inland,2021-01-31 00:00:00,0,0,0,Reported
OG110D,Belridge  North,050,Inland,2021-01-31 00:00:00,0,52,0,Reported
OG110D,Belridge  North,050,Inland,2021-01-31 00:00:00,0,343177,115,Reported
OG110D,Belridge  North,050,Inland,2021-02-28 00:00:00,0,0,0,Reported
OG110D,Belridge  North,050,Inland,2021-02-28 00:00:00,0,50,0,Reported
OG110D,Belridge  North,050,Inland,2021-02-28 00:00:00,0,294133,2878,Reported
OG110D,Belridge  North,050,Inland,2021-03-31 00:00:00,0,0,0,Reported
OG110D,Belridge  North,050,Inland,2021-03-31 00:00:00,0,47,0,Reported
OG110D,Belridge  North,050,Inland,2021-03-31 00:00:00,0,327888,659,Reported
OG110D,Belridge  North,050,Inland,2021-04-30 00:00:00,0,0,0,Reported
OG110D,Belridge  North,050,Inland,2021-04-30 00:00:00,0,54,0,Reported
OG110D,Belridge  North,050,Inland,2021-04-30 00:00:00,0,315443,111,Reported
